id,university,universityNative,country,city,lat,lng,region,website,established,program_level,program_name,program_duration
2173,D. Serikbayev East Kazakhstan Technical University,Д. Серікбаев атындағы Шығыс Қазақстан техникалық университеті,Kazakhstan,Ust-Kamenogorsk,49.9480,82.6276,asia,https://www.ektu.kz,1958,bachelor,Land Cadastre and Land Management,4
2180,Tashkent State Agrarian University,Toshkent davlat agrar universiteti,Uzbekistan,Tashkent,41.3462,69.2044,asia,https://www.tdau.uz,1930,bachelor,Land Cadastre and Land Management,4
2180,Tashkent State Agrarian University,Toshkent davlat agrar universiteti,Uzbekistan,Tashkent,41.3462,69.2044,asia,https://www.tdau.uz,1930,master,Use and Management of Land Resources,2
2190,Kyrgyz National Agrarian University,Кыргыз улуттук агрардык университети,Kyrgyzstan,Bishkek,42.8439,74.5821,asia,https://www.knau.kg,1933,bachelor,Land Management and Cadastre,4
2190,Kyrgyz National Agrarian University,Кыргыз улуттук агрардык университети,Kyrgyzstan,Bishkek,42.8439,74.5821,asia,https://www.knau.kg,1933,master,Land Management and Cadastre,2
2200,Al-Quds University,جامعة القدس,Palestine,Jerusalem,31.76,35.26,asia,https://www.alquds.edu,1984,master,Land Management,2
2210,Arab American University,الجامعة العربية الأمريكية,Palestine,Jenin,32.4601,35.2924,asia,https://www.aaup.edu,2000,master,Land and Real Estate Management,2
2220,University of Duhok,زانكۆی دهۆك,Iraq,Duhok,36.8607,42.98,asia,https://www.uod.ac,1992,course,Land Governance,0
2230,University of Jordan,الجامعة الأردنية,Jordan,Amman,32.0128,35.8727,asia,https://www.ju.edu.jo,1962,bachelor,Land Water and Environment,4
2230,University of Jordan,الجامعة الأردنية,Jordan,Amman,32.0128,35.8727,asia,https://www.ju.edu.jo,1962,master,Land Water and Environment,2
2240,National Chengchi University,國立政治大學,Taiwan (Chinese Taipei),Taipei,24.9868,121.5758,asia,https://www.nccu.edu.tw,1927,bachelor,Land Management,4
2240,National Chengchi University,國立政治大學,Taiwan (Chinese Taipei),Taipei,24.9868,121.5758,asia,https://www.nccu.edu.tw,1927,bachelor,Land Resource Planning,4
2240,National Chengchi University,國立政治大學,Taiwan (Chinese Taipei),Taipei,24.9868,121.5758,asia,https://www.nccu.edu.tw,1927,master,Land Economics,2
2241,Chang Jung Christian University,長榮大學,Taiwan (Chinese Taipei),Tainan,22.9055,120.2727,asia,https://www.cjcu.edu.tw,1993,bachelor,Land Management and Development,4
